0	54	3	1
0	54	3	2
0	53	3	3
0	55	3	4
0	54	3	5
0	53	3	6
0	52	3	7
0	52	3	8
0	52	3	9
0	52	3	10
0	53	3	11
0	52	3	12
1	51	3	13
0	51	3	14
1	51	3	15
0	48	3	16
1	49	3	17
0	50	3	18
1	49	3	19
0	48	2	20
0	46	2	21
1	43	2	22
0	43	2	23
0	48	2	24
0	46	2	25
1	40	2	26
0	38	2	27
0	38	2	28
0	35	2	29
0	35	2	30
1	36	2	31
1	37	2	32
1	36	2	33
0	38	2	34
0	36	2	35
0	35	2	36
0	35	2	37
1	34	2	38
0	35	2	39
0	33	2	40
0	32	2	41
0	35	2	42
0	33	2	43
1	35	2	44
1	36	2	45
0	35	2	46
0	36	2	47
1	35	2	48
1	35	2	49
0	37	2	50
0	33	2	51
1	32	2	52
0	34	2	53
1	34	2	54
0	35	2	55
0	33	1	56
0	32	1	57
0	31	1	58
0	32	1	59
0	34	1	60
1	31	1	61
0	32	1	62
1	32	1	63
0	32	1	64
0	30	1	65
0	33	1	66
1	32	1	67
1	32	1	68
0	32	1	69
0	37	1	70
0	31	1	71
0	28	1	72
1	28	1	73
0	28	1	74
1	29	1	75
0	30	1	76
1	30	1	77
0	28	1	78
0	28	1	79
0	28	1	80
1	28	1	81
1	26	1	82
0	29	1	83
0	26	1	84
0	27	1	85
0	27	1	86
1	29	1	87
0	27	1	88
1	0	1	1
1	1	0	2
1	0	0	3
1	1	1	4
1	0	1	5
1	1	0	6
1	0	0	7
1	1	1	8
1	0	1	9
1	1	0	10
1	0	0	11
1	1	1	12
1	0	1	13
1	1	0	14
1	0	0	15
1	1	1	16
1	0	1	17
1	1	0	18
1	0	0	19
1	1	1	20
1	0	1	21
1	1	0	22
1	0	0	23
1	1	1	24
1	0	1	25
1	1	0	26
1	0	0	27
1	1	1	28
1	0	1	29
1	1	0	30
1	0	0	31
2	1	1	32
2	0	1	33
2	1	0	34
2	0	0	35
2	1	1	36
2	0	1	37
2	1	0	38
2	0	0	39
2	1	1	40
2	0	1	41
2	1	0	42
2	0	0	43
2	1	1	44
2	0	1	45
2	1	0	46
2	0	0	47
2	1	1	48
2	0	1	49
2	1	0	50
2	0	0	51
2	1	1	52
2	0	1	53
2	1	0	54
2	0	0	55
2	1	1	56
2	0	1	57
2	1	0	58
2	0	0	59
2	1	1	60
2	0	1	61
2	1	0	62
2	0	0	63
2	1	1	64
2	0	1	65
2	1	0	66
2	0	0	67
2	1	1	68
2	0	1	69
2	1	0	70
2	0	0	71
2	1	1	72
2	0	1	73
2	1	0	74
2	0	0	75
2	1	1	76
2	0	1	77
2	1	0	78
2	0	0	79
2	1	1	80
2	0	1	81
2	1	0	82
2	0	0	83
2	1	1	84
2	0	1	85
2	1	0	86
2	0	0	87
2	1	1	88
